,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pevek,RU,69.7008,170.3133,28.42,95,100,30.24
1,Yellowknife,CA,62.456,-114.3525,50.56,57,40,10.36
2,Skjervoy,NO,70.0311,20.9714,48.2,88,100,21.68
3,Auch,FR,43.65,0.5833,65.34,81,39,3.18
4,Killybegs,IE,54.6333,-8.45,56.91,85,100,25.41
5,Tura,IN,25.5198,90.2201,71.69,97,22,3.42
6,Slave Lake,CA,55.2834,-114.769,46.38,76,0,6.91
7,Bejar,ES,40.3864,-5.7634,68.58,59,100,2.28
8,Bowen,AU,-20.0167,148.2333,73.56,80,31,17.05
9,Olafsvik,IS,64.8945,-23.7142,41.61,68,75,13.06
10,Tuatapere,NZ,-46.1333,167.6833,36.91,83,40,4.16
11,Vikhorevka,RU,56.1201,101.1636,31.59,94,90,1.66
12,Mataura,NZ,-46.1927,168.8643,43.48,89,7,1.57
13,Mandalgovi,MN,45.7625,106.2708,37.62,29,100,6.02
14,Faya,SA,18.3851,42.4509,73.51,27,67,10.04
15,Bredasdorp,ZA,-34.5322,20.0403,58.3,79,100,8.52
16,Camacha,PT,33.0833,-16.3333,69.22,78,20,13.8
17,Saint George,US,37.1041,-113.5841,81.95,26,0,3.0
18,Nikolskoye,RU,59.7035,30.7861,53.8,85,17,11.21
19,Bluff,NZ,-46.6,168.3333,43.81,68,6,5.7
20,Saint-Augustin,CA,51.226,-58.6502,59.22,64,12,17.4
21,Llangefni,GB,53.2556,-4.3106,59.74,85,100,33.38
22,East London,ZA,-33.0153,27.9116,59.94,82,0,8.05
23,Boda,CF,4.3189,17.4695,69.17,96,77,1.86
24,Hammerfest,NO,70.6634,23.6821,45.05,87,75,10.36
25,Shenzhen,CN,22.5455,114.0683,83.21,89,1,5.82
26,Port Alfred,ZA,-33.5906,26.891,58.17,82,100,1.99
27,Inta,RU,66.0317,60.1659,41.43,92,100,5.79
28,Severodvinsk,RU,64.5635,39.8302,48.31,88,100,19.15
29,Kitui,KE,-1.367,38.0106,68.0,64,6,13.53
30,Waipawa,NZ,-41.4122,175.5153,40.8,89,94,16.91
31,Padang,ID,-0.9492,100.3543,71.65,88,100,2.66
32,Torbay,CA,47.6666,-52.7314,61.16,87,75,8.05
33,Puerto Ayora,EC,-0.7393,-90.3518,76.96,88,94,8.01
34,Ocampo,MX,21.65,-101.5,65.71,57,100,9.69
35,Cape Town,ZA,-33.9258,18.4232,62.35,75,75,4.61
36,Ushuaia,AR,-54.8,-68.3,46.06,53,75,4.61
37,Flinders,AU,-34.5833,150.8552,61.38,93,100,3.0
38,Hobart,AU,-42.8794,147.3294,57.06,91,75,5.75
39,Great Yarmouth,GB,52.6083,1.7305,59.41,67,12,14.25
40,Avarua,CK,-21.2078,-159.775,75.25,64,40,12.66
41,Hilo,US,19.7297,-155.09,82.27,88,100,6.91
42,Jamestown,US,42.097,-79.2353,69.03,46,40,6.91
43,Marsa Matruh,EG,31.3525,27.2453,73.6,53,20,11.5
44,Pakxan,LA,18.3778,103.6601,72.07,96,94,3.83
45,Zherdevka,RU,51.8486,41.4606,51.17,83,100,5.46
46,Rikitea,PF,-23.1203,-134.9692,70.12,64,58,22.64
47,Khatanga,RU,71.9667,102.5,19.6,94,100,14.63
48,Albany,US,42.6001,-73.9662,74.77,58,9,3.71
49,Prado,BR,-17.3411,-39.2208,79.56,65,87,10.18
50,Caetite,BR,-14.0694,-42.475,88.88,25,100,11.72
51,Warmbad,NA,-28.45,18.7333,67.19,22,100,16.2
52,San Carlos De Bariloche,AR,-41.1456,-71.3082,53.35,35,75,27.63
53,Punta Arenas,CL,-53.15,-70.9167,48.31,49,75,25.32
54,Georgetown,MY,5.4112,100.3354,81.23,89,20,1.14
55,Kavieng,PG,-2.5744,150.7967,82.11,74,100,16.04
56,Lashio,MM,22.9333,97.75,65.41,99,33,1.19
57,Sembe,CG,1.6481,14.5806,68.95,100,100,1.72
58,Pandan Niog,PH,6.2282,120.5631,83.14,73,79,6.11
59,Port Lincoln,AU,-34.7333,135.8667,53.1,73,2,11.99
60,Victoria,HK,22.2855,114.1577,83.32,80,0,11.01
61,Pisco,PE,-13.7,-76.2167,62.65,82,20,11.5
62,Sitka,US,57.0531,-135.33,57.09,94,75,0.0
63,Pacific Grove,US,36.6177,-121.9166,72.21,87,20,4.61
64,Peniche,PT,39.3558,-9.3811,71.08,70,82,7.83
65,Manggar,ID,-2.8833,108.2667,77.79,87,100,4.47
66,Shaunavon,CA,49.6501,-108.4181,44.38,37,11,7.09
67,Vredendal,ZA,-31.6683,18.5012,56.57,89,100,9.19
68,Charters Towers,AU,-20.1,146.2667,67.68,88,61,12.17
69,Bontang,ID,0.1333,117.5,75.97,90,97,3.51
70,Vaini,TO,-21.2,-175.2,69.96,100,40,2.3
71,Riyadh,SA,24.6877,46.7219,86.14,12,0,4.29
72,Sharlyk,RU,52.9167,54.75,49.48,77,100,6.69
73,Montepuez,MZ,-13.1256,38.9997,72.3,57,0,7.92
74,Busselton,AU,-33.65,115.3333,52.0,68,100,3.18
75,Bathsheba,BB,13.2167,-59.5167,84.81,79,75,17.27
76,Rocha,UY,-34.4833,-54.3333,57.9,99,100,8.16
77,Korla,CN,41.7597,86.1469,54.55,38,28,2.33
78,Port Angeles,US,48.1181,-123.4307,70.84,70,0,11.5
79,Kaitangata,NZ,-46.2817,169.8464,38.64,85,36,6.76
80,Kenai,US,60.5544,-151.2583,47.14,96,75,5.75
81,Zyryanka,RU,65.75,150.85,23.9,94,100,18.92
82,Dikson,RU,73.5069,80.5464,32.13,99,100,23.94
83,Kahului,US,20.8947,-156.47,80.96,76,40,9.22
84,Quelimane,MZ,-17.8786,36.8883,76.95,88,0,8.05
85,Kapaa,US,22.0752,-159.319,78.78,80,0,6.91
86,Roald,NO,62.5833,6.1333,53.33,71,75,31.07
87,Ponta Do Sol,PT,32.6667,-17.1,75.7,81,36,4.81
88,Malu Mare,RO,44.2333,23.8667,60.13,55,0,2.3
89,Celestun,MX,20.8667,-90.4,82.99,60,16,11.21
90,Lahaina,US,20.8783,-156.6825,80.94,84,100,6.46
91,Concarneau,FR,47.875,-3.9225,56.82,80,45,4.85
92,Olinda,BR,-8.0089,-34.8553,76.73,88,75,5.75
93,Walvis Bay,NA,-22.9575,14.5053,58.15,77,0,6.91
94,Lebu,CL,-37.6167,-73.65,52.88,96,100,9.06
95,Hermanus,ZA,-34.4187,19.2345,57.79,75,98,12.21
96,Saldanha,ZA,-33.0117,17.9442,60.85,83,19,14.07
97,Esperance,AU,-33.8667,121.9,55.08,59,100,13.04
98,Hithadhoo,MV,-0.6,73.0833,80.73,80,50,18.45
