City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2022-10-03 02:13:22,-34.5322,20.0403,53.28,93,100,7.11
1,Ledyard,US,2022-10-03 02:13:23,41.4398,-72.0142,52.72,64,0,16.11
2,Korla,CN,2022-10-03 02:13:23,41.7597,86.1469,48.72,22,0,15.14
3,Ilulissat,GL,2022-10-03 02:13:24,69.2167,-51.1,32.02,86,100,1.14
4,Kaitangata,NZ,2022-10-03 02:13:24,-46.2817,169.8464,51.6,49,57,15.86
5,Jinchang,CN,2022-10-03 02:13:24,38.4953,102.1739,45.86,26,100,4.03
6,Tuatapere,NZ,2022-10-03 02:13:25,-46.1333,167.6833,50.2,57,81,13.2
7,Margate,GB,2022-10-03 02:12:21,51.3813,1.3862,49.89,67,99,3.33
8,Victoria,HK,2022-10-03 02:13:25,22.2855,114.1577,88.97,79,43,5.99
9,Mount Gambier,AU,2022-10-03 02:10:20,-37.8333,140.7667,66.2,53,69,3.42
10,Thompson,CA,2022-10-03 02:10:05,55.7435,-97.8558,60.06,58,57,11.88
11,Georgetown,MY,2022-10-03 02:13:26,5.4112,100.3354,82.89,78,20,3.44
12,New Norfolk,AU,2022-10-03 02:13:26,-42.7826,147.0587,59.72,41,100,2.75
13,Roswell,US,2022-10-03 02:08:36,34.0232,-84.3616,64.78,77,75,11.5
14,Hobart,AU,2022-10-03 02:13:27,-42.8794,147.3294,60.06,66,75,9.22
15,Polunochnoye,RU,2022-10-03 02:13:27,60.8697,60.4153,39.13,97,100,6.53
16,Hasaki,JP,2022-10-03 02:13:27,35.7333,140.8333,82.29,62,89,5.57
17,Najran,SA,2022-10-03 02:13:28,17.4924,44.1277,68.05,21,22,1.7
18,Ushuaia,AR,2022-10-03 02:13:21,-54.8,-68.3,40.66,81,0,3.44
19,Semey,KZ,2022-10-03 02:13:28,50.4111,80.2275,19.62,86,0,0.0
20,Tateyama,JP,2022-10-03 02:13:28,34.9833,139.8667,77.09,60,31,4.14
21,Khatanga,RU,2022-10-03 02:13:29,71.9667,102.5,24.4,96,99,11.56
22,Saint-Philippe,RE,2022-10-03 02:13:29,-21.3585,55.7679,65.79,78,14,8.03
23,Rikitea,PF,2022-10-03 02:13:29,-23.1203,-134.9692,75.04,65,53,5.93
24,Jamestown,US,2022-10-03 02:13:30,42.097,-79.2353,44.24,62,0,10.36
25,Kachiry,KZ,2022-10-03 02:13:30,53.0675,76.1036,32.72,69,5,5.97
26,Cape Town,ZA,2022-10-03 02:13:31,-33.9258,18.4232,59.41,83,75,4.61
27,Chokurdakh,RU,2022-10-03 02:13:31,70.6333,147.9167,24.87,63,46,10.11
28,Cidreira,BR,2022-10-03 02:09:17,-30.1811,-50.2056,60.53,88,2,5.64
29,Touros,BR,2022-10-03 02:13:31,-5.1989,-35.4608,75.99,75,9,13.22
30,Abu Dhabi,AE,2022-10-03 02:09:21,24.4667,54.3667,81.97,89,0,9.35
31,Roebourne,AU,2022-10-03 02:13:32,-20.7833,117.1333,81.48,40,0,11.21
32,Havelock,US,2022-10-03 02:11:54,34.8791,-76.9013,64.94,86,100,8.16
33,Tautira,PF,2022-10-03 02:11:58,-17.7333,-149.15,78.19,71,98,10.87
34,Troitskoye,RU,2022-10-03 02:13:33,52.9821,84.6757,29.64,81,13,7.43
35,Puerto Ayora,EC,2022-10-03 02:13:33,-0.7393,-90.3518,64.54,94,88,1.99
36,Foumban,CM,2022-10-03 02:13:33,5.7291,10.9001,62.22,95,100,3.49
37,Hamilton,US,2022-10-03 02:12:16,39.1834,-84.5333,59.43,75,0,10.36
38,Butaritari,KI,2022-10-03 02:13:34,3.0707,172.7902,82.76,70,91,16.71
39,Atar,MR,2022-10-03 02:13:34,20.5169,-13.0499,87.91,27,5,5.7
40,Chuy,UY,2022-10-03 02:13:34,-33.6971,-53.4616,52.0,93,3,7.87
41,Busselton,AU,2022-10-03 02:13:35,-33.65,115.3333,59.11,48,97,13.06
42,Norman Wells,CA,2022-10-03 02:13:35,65.282,-126.8329,33.84,93,100,3.44
43,Souillac,MU,2022-10-03 02:09:24,-20.5167,57.5167,70.18,73,40,10.36
44,Kapaa,US,2022-10-03 02:13:36,22.0752,-159.319,80.92,78,75,18.41
45,Chinsali,ZM,2022-10-03 02:13:36,-10.5414,32.0816,61.05,56,3,5.28
46,Castro,BR,2022-10-03 02:13:36,-24.7911,-50.0119,57.22,96,8,5.08
47,Hermanus,ZA,2022-10-03 02:14:37,-34.4187,19.2345,59.81,83,94,12.19
48,Mariestad,SE,2022-10-03 02:14:37,58.7097,13.8237,50.47,98,86,2.82
49,Eravur,LK,2022-10-03 02:14:38,7.7733,81.6095,83.08,62,100,19.15
50,Jacareacanga,BR,2022-10-03 02:14:38,-6.2222,-57.7528,72.41,96,70,1.07
51,College,US,2022-10-03 02:14:38,64.8569,-147.8028,45.59,85,75,4.61
52,Yulara,AU,2022-10-03 02:14:39,-25.2406,130.9889,80.44,34,40,19.57
53,Lavos,PT,2022-10-03 02:14:39,40.0936,-8.8283,57.18,51,53,3.78
54,Constitucion,CL,2022-10-03 02:14:40,-35.3333,-72.4167,50.94,91,81,7.07
55,Bara,NG,2022-10-03 02:14:40,10.3744,10.7288,72.46,91,92,9.53
56,Nehe,CN,2022-10-03 02:14:40,48.4833,124.8333,45.09,40,100,12.82
57,Cam Ranh,VN,2022-10-03 02:14:41,11.9214,109.1591,84.16,70,40,2.3
58,Surt,LY,2022-10-03 02:14:41,31.2089,16.5887,74.48,69,0,12.66
59,Twentynine Palms,US,2022-10-03 02:14:42,34.1356,-116.0542,86.14,40,8,5.01
60,Bluff,NZ,2022-10-03 02:14:42,-46.6,168.3333,47.8,53,100,20.11
61,Xiongyue,CN,2022-10-03 02:14:42,40.1774,122.1228,58.96,86,100,25.86
62,Provideniya,RU,2022-10-03 02:14:43,64.3833,-173.3,39.36,87,40,13.42
63,Honiara,SB,2022-10-03 02:14:43,-9.4333,159.95,84.43,75,93,4.59
64,Lagoa,PT,2022-10-03 02:14:43,39.05,-27.9833,70.84,85,92,5.37
65,Lagunas,PE,2022-10-03 02:14:44,-5.2269,-75.6753,75.92,73,89,1.72
66,Mataura,NZ,2022-10-03 02:14:44,-46.1927,168.8643,47.48,45,91,10.07
67,Westport,US,2022-10-03 02:14:44,41.1415,-73.3579,53.74,54,0,14.97
68,Lixourion,GR,2022-10-03 02:14:45,38.2019,20.4314,69.19,74,3,8.84
69,Barrow,US,2022-10-03 02:14:45,71.2906,-156.7887,28.42,74,100,11.5
70,Auki,SB,2022-10-03 02:14:45,-8.7676,160.7034,83.97,72,60,3.47
71,Passo Fundo,BR,2022-10-03 02:13:12,-28.2628,-52.4067,50.56,92,0,7.78
72,Hilo,US,2022-10-03 02:13:06,19.7297,-155.09,83.93,73,0,6.91
73,Saint George,US,2022-10-03 02:11:34,37.1041,-113.5841,80.44,52,0,8.05
74,Pisco,PE,2022-10-03 02:14:46,-13.7,-76.2167,60.03,88,40,10.36
75,Vaini,TO,2022-10-03 02:14:47,-21.2,-175.2,78.96,78,75,11.5
76,Smithers,CA,2022-10-03 02:14:47,54.7804,-127.1743,53.92,76,20,5.75
77,Albany,US,2022-10-03 02:12:20,42.6001,-73.9662,48.45,64,100,5.14
78,Namibe,AO,2022-10-03 02:14:47,-15.1961,12.1522,65.46,83,93,9.66
79,East London,ZA,2022-10-03 02:14:48,-33.0153,27.9116,65.62,90,49,8.19
80,Kodiak,US,2022-10-03 02:14:48,57.79,-152.4072,53.11,66,75,9.22
81,Coihaique,CL,2022-10-03 02:14:48,-45.5752,-72.0662,53.55,54,0,4.61
82,Atuona,PF,2022-10-03 02:14:49,-9.8,-139.0333,77.05,74,35,18.86
83,Rafaela,AR,2022-10-03 02:10:12,-31.2503,-61.4867,62.01,53,10,8.72
84,Upernavik,GL,2022-10-03 02:09:50,72.7868,-56.1549,20.1,86,57,9.17
85,Tasiilaq,GL,2022-10-03 02:14:49,65.6145,-37.6368,37.56,98,100,12.46
86,Tiksi,RU,2022-10-03 02:14:50,71.6872,128.8694,25.74,89,100,7.81
87,Carutapera,BR,2022-10-03 02:14:50,-1.195,-46.02,79.14,81,19,8.3
88,Komsomolskiy,UZ,2022-10-03 02:14:51,40.4272,71.7189,56.12,50,7,6.91
89,Nanga Eboko,CM,2022-10-03 02:15:51,4.6833,12.3667,67.01,99,100,3.04
90,Port Blair,IN,2022-10-03 02:15:51,11.6667,92.75,84.24,79,75,8.05
91,Lindas,NO,2022-10-03 02:15:52,60.7381,5.16,52.52,85,100,3.53
92,Aranos,NA,2022-10-03 02:15:52,-24.1333,19.1167,69.33,20,46,2.84
93,Rawson,AR,2022-10-03 02:15:52,-43.3002,-65.1023,47.91,65,99,16.82
94,Licata,IT,2022-10-03 02:15:53,37.1071,13.9461,69.24,62,1,7.83
95,Batagay-Alyta,RU,2022-10-03 02:15:53,67.8006,130.4114,17.64,68,97,2.75
96,Punta Arenas,CL,2022-10-03 02:11:48,-53.15,-70.9167,42.91,65,0,9.22
97,Prieska,ZA,2022-10-03 02:15:54,-29.6641,22.7474,64.4,18,0,3.67
98,Nyrob,RU,2022-10-03 02:15:54,60.733,56.7202,47.46,96,100,9.66
99,Sola,VU,2022-10-03 02:13:11,-13.8833,167.55,80.69,75,31,6.42
100,Vuktyl,RU,2022-10-03 02:15:54,63.8567,57.3094,46.06,96,100,10.49
101,Bathsheba,BB,2022-10-03 02:15:55,13.2167,-59.5167,79.41,94,40,4.61
102,Port Alfred,ZA,2022-10-03 02:15:55,-33.5906,26.891,60.19,89,38,4.0
103,Ewa Beach,US,2022-10-03 02:15:56,21.3156,-158.0072,82.35,80,75,9.22
104,Bethel,US,2022-10-03 02:15:56,41.3712,-73.414,52.16,57,0,8.05
105,Yellowknife,CA,2022-10-03 02:11:28,62.456,-114.3525,42.57,60,7,11.01
106,Saskylakh,RU,2022-10-03 02:15:56,71.9167,114.0833,25.48,95,99,11.61
107,Konstantinovskoye,RU,2022-10-03 02:15:57,45.2992,42.6367,63.18,74,100,16.6
108,Beringovskiy,RU,2022-10-03 02:15:57,63.05,179.3167,40.33,73,96,14.2
109,Bousso,TD,2022-10-03 02:15:58,10.4795,16.7117,74.43,89,61,5.99
110,Qaanaaq,GL,2022-10-03 02:15:58,77.484,-69.3632,7.38,74,61,7.4
111,Doha,QA,2022-10-03 02:13:37,25.2867,51.5333,82.38,74,0,2.3
112,Mana,GF,2022-10-03 02:14:43,5.6592,-53.7767,78.12,89,99,7.27
113,Faanui,PF,2022-10-03 02:15:58,-16.4833,-151.75,79.0,72,4,13.96
114,Arraial Do Cabo,BR,2022-10-03 02:12:25,-22.9661,-42.0278,69.08,90,100,6.49
115,Pauini,BR,2022-10-03 02:15:59,-7.7136,-66.9764,75.11,75,11,0.65
116,Carnarvon,AU,2022-10-03 02:15:59,-24.8667,113.6333,72.64,43,0,15.57
117,Broome,US,2022-10-03 02:16:00,42.2506,-75.833,49.66,82,0,5.75
118,Nanortalik,GL,2022-10-03 02:16:00,60.1432,-45.2371,36.63,82,13,11.52
